N,P,K,temperature,humidity,ph,rainfall,label,Pest,Pesticide,Active Ingredient,Usage Guidelines,Historical Temp (Avg Last 7 days),Historical Humidity (Avg Last 7 days),Historical Rainfall (Last 7 days),Atmospheric Pressure (hPa),Solar Radiation (UV Index),Wind Speed (km/h),Wind Direction (°),Cloud Cover (%),Evapotranspiration Rate (mm/day),Pest Occurrence (Count),Pest Life Cycle Stage,Neighboring Crop Infestation Risk (%),NDVI (Normalized Difference Vegetation Index),Chlorophyll Content (SPAD),Soil Microbial Activity (%),Soil Temp (°C),Soil pH Variability,Disease Symptoms Detected,Fertilizer Usage History
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans,Banana Weevil,Chlorantraniliprole,Dimethoate 30% EC,Spray 1.5 ml/L water,28.83,63.09,105.57,984.3,5.24,0.31,171.29,87.61,4.33,34.0,Adult,70.83,0.26,52.56,58.54,12.06,0.29,Yes,Excess
26,65,22,17.84806561,18.77621951,5.9499490810000015,143.09841709999995,kidneybeans,Brown Planthopper,Carbofuran,Fenamiphos 10% GR,Use 1 gm/plant base,26.5,45.75,283.05,1046.96,1.14,18.48,80.88,14.42,1.95,9.0,Adult,69.39,0.6,44.52,39.4,12.86,-0.27,No,Deficient
17,57,21,19.88394011,20.31564139,5.789214288999999,60.91974792,kidneybeans,Fruit Fly,Spinosad,Fenamiphos 10% GR,Spray 2 ml/L water,26.36,40.77,1.27,1030.0,3.2,37.61,69.65,46.47,4.32,15.0,Egg,55.24,0.87,51.22,47.43,20.23,0.44,No,Optimal
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans,Mango Hopper,Malathion,Carbofuran 3% GR,Spray 0.3 ml/L water,21.95,45.26,285.29,1044.75,1.15,29.03,108.76,74.53,4.76,35.0,Egg,55.66,0.33,38.08,10.27,22.7,0.59,Yes,Deficient
17,59,17,18.416700100000003,23.42829938,5.689858133,132.9801054,kidneybeans,Stem Borer,Chlorantraniliprole,Buprofezin 25% SC,Spray 0.3 ml/L water,26.27,59.32,89.46,1032.51,9.76,34.1,212.13,97.11,4.44,28.0,Larva,16.86,1.0,27.45,60.05,19.51,-0.45,Yes,Optimal
27,59,22,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans,Brown Planthopper,Thiamethoxam,Dimethoate 30% EC,Apply 0.2 gm/L water,30.85,41.25,73.53,1049.51,8.33,18.01,56.77,82.92,2.46,8.0,Larva,24.47,0.45,40.76,76.22,30.13,0.2,Yes,Excess
28,58,24,19.72702528,18.28173015,5.748190462999999,143.7630894,kidneybeans,Stem Borer,Fenamiphos,Spinosad 45% SC,Apply 0.1 ml/L water,16.19,64.46,204.04,1000.35,4.68,10.16,235.93,69.68,3.23,17.0,Egg,24.69,0.96,48.46,18.49,33.31,0.74,No,Deficient
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans,Banana Weevil,Chlorantraniliprole,Carbofuran 3% GR,Use 1 gm/plant base,20.03,65.95,0.71,1005.14,4.05,0.71,230.09,21.75,1.69,33.0,Adult,47.18,0.99,21.26,60.45,12.83,0.12,Yes,Optimal
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans,Fall Armyworm,Malathion,Carbofuran 3% GR,Spray at 0.4 ml/L water,30.96,92.54,286.05,1048.88,5.85,19.16,357.14,32.55,4.96,44.0,Larva,38.49,0.35,21.47,65.35,27.54,-0.63,No,Deficient
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans,Stem Borer,Carbofuran,Chlorantraniliprole 18.5% SC,Apply 0.2 gm/L water,18.07,43.52,111.03,1036.63,4.87,22.34,175.13,12.98,2.18,48.0,Adult,96.89,0.91,41.56,39.47,15.72,-0.33,No,Excess
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans,Banana Weevil,Buprofezin,Fenamiphos 10% GR,Spray 1.5 ml/L water,23.89,78.44,288.81,1046.36,1.63,37.05,228.32,69.96,0.71,41.0,Adult,77.26,0.9,22.77,14.88,14.05,-0.51,Yes,Deficient
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans,Mango Hopper,Spinosad,Chlorantraniliprole 18.5% SC,Spray 0.3 ml/L water,18.15,78.3,255.55,990.97,8.52,14.57,52.14,4.94,4.98,48.0,Larva,83.55,0.51,42.2,60.92,21.12,0.62,No,Optimal
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans,Nematodes,Chlorantraniliprole,Spinosad 45% SC,Spray at 0.4 ml/L water,28.66,81.23,211.26,1035.37,2.07,13.65,220.6,46.25,2.77,40.0,Egg,61.3,0.37,23.23,19.44,22.24,-0.57,Yes,Excess
27,80,15,19.07096165,21.21092266,5.7883869510000014,86.21917578,kidneybeans,Brown Planthopper,Carbofuran,Thiamethoxam 25% WG,Apply 2 gm/plant base,28.93,56.1,162.92,1037.15,8.42,11.37,12.03,35.75,0.94,34.0,Larva,75.14,0.09,24.66,33.3,34.78,-0.5,No,Optimal
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans,Mango Hopper,Malathion,Thiamethoxam 25% WG,Apply 0.1 ml/L water,31.35,54.29,164.66,984.7,4.0,35.19,193.03,44.99,3.32,3.0,Adult,53.75,0.22,21.09,37.98,18.69,0.39,No,Deficient
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans,Fruit Fly,Chlorantraniliprole,Thiamethoxam 25% WG,Use 1 gm/plant base,31.17,48.73,15.77,1012.41,2.16,13.51,191.38,63.3,2.07,30.0,Egg,82.51,0.93,52.54,39.46,30.08,0.9,Yes,Excess
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans,Fall Armyworm,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray 1.5 ml/L water,32.82,71.54,93.82,995.38,1.55,13.36,254.8,41.1,0.84,49.0,Egg,21.71,0.18,36.14,25.59,13.83,0.5,Yes,Excess
19,65,25,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidneybeans,Stem Borer,Spinosad,Buprofezin 25% SC,Spray 2 ml/L water,20.42,74.81,36.67,1023.8,7.61,35.3,101.14,99.95,1.96,23.0,Adult,18.13,0.78,24.5,69.32,26.45,-0.78,Yes,Excess
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans,Stem Borer,Chlorantraniliprole,Fenamiphos 10% GR,Use 1 gm/plant base,30.08,66.91,23.39,1010.16,9.44,24.56,181.77,39.7,4.82,15.0,Adult,69.21,0.23,54.37,24.26,18.69,0.69,No,Deficient
37,64,22,17.48189735,18.8251973,5.954665349,121.9401369,kidneybeans,Banana Weevil,Buprofezin,Malathion 50% EC,Apply 0.1 ml/L water,22.73,84.44,5.71,1003.58,8.84,0.35,210.99,51.29,2.93,47.0,Adult,86.63,0.71,51.35,55.47,25.66,-0.49,Yes,Deficient
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans,Banana Weevil,Carbofuran,Malathion 50% EC,Spray 1.5 ml/L water,28.52,72.61,134.5,1030.29,3.71,25.07,284.83,67.54,4.84,3.0,Egg,87.83,0.29,31.62,20.92,24.73,-0.59,Yes,Excess
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans,Stem Borer,Dimethoate,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,32.01,50.35,196.9,1000.34,9.08,16.76,69.38,45.25,0.98,37.0,Larva,93.7,0.57,47.55,62.18,18.07,-0.08,Yes,Optimal
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans,Fruit Fly,Malathion,Carbofuran 3% GR,Apply 0.2 gm/L water,34.49,73.66,159.69,1004.27,2.85,2.55,286.03,86.91,1.65,37.0,Larva,59.19,0.46,21.21,75.71,10.63,0.5,No,Excess
24,80,22,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans,Brown Planthopper,Dimethoate,Carbofuran 3% GR,Spray 1.5 ml/L water,19.47,83.49,59.18,1006.2,4.7,34.7,122.27,64.02,4.22,40.0,Egg,55.9,0.07,28.24,36.66,22.97,0.18,No,Excess
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans,Fall Armyworm,Malathion,Chlorantraniliprole 18.5% SC,Spray 2 ml/L water,32.84,93.68,110.63,1044.56,6.09,3.21,130.57,5.15,0.75,2.0,Larva,37.96,0.82,58.82,29.87,30.79,-0.97,No,Excess
16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans,Brown Planthopper,Carbofuran,Fenamiphos 10% GR,Spray 0.3 ml/L water,23.96,74.02,26.17,1005.61,3.58,36.6,274.46,65.27,4.96,33.0,Larva,18.48,0.06,25.2,15.61,19.5,-0.63,Yes,Excess
17,77,23,24.51324787,20.81527638,5.670062975,64.19497947,kidneybeans,Nematodes,Carbofuran,Malathion 50% EC,Apply 0.1 ml/L water,28.89,68.64,20.58,1030.82,8.01,29.92,107.11,14.24,2.41,44.0,Egg,36.4,0.95,35.87,31.72,28.3,0.63,No,Excess
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans,Fall Armyworm,Thiamethoxam,Dimethoate 30% EC,Apply 0.1 ml/L water,22.74,93.68,25.81,1012.92,1.52,16.85,113.36,91.09,4.78,11.0,Larva,23.4,0.79,24.73,21.38,25.16,-0.98,No,Optimal
40,73,20,21.59343016,20.31871249,5.811314232000001,61.13872036,kidneybeans,Banana Weevil,Spinosad,Buprofezin 25% SC,Apply 2 gm/plant base,25.24,62.42,66.02,1037.86,9.42,27.25,198.73,26.0,3.56,8.0,Larva,87.35,0.07,50.88,36.83,20.1,0.83,Yes,Deficient
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans,Corn Borer,Thiamethoxam,Fenamiphos 10% GR,Spray at 0.4 ml/L water,32.86,65.74,65.57,1033.3,2.25,14.64,4.7,54.68,1.7,2.0,Larva,67.36,0.23,39.17,24.23,22.4,0.14,Yes,Excess
1,62,23,15.43546065,18.37477907,5.607808432000001,139.0302034,kidneybeans,Stem Borer,Carbofuran,Spinosad 45% SC,Use 1 gm/plant base,34.77,47.7,179.61,1003.45,10.81,7.18,144.26,43.79,4.62,7.0,Larva,17.31,0.01,23.09,75.12,19.83,0.11,Yes,Excess
33,59,22,22.64236876,21.59396123,5.946999529,122.3886015,kidneybeans,Corn Borer,Fenamiphos,Spinosad 45% SC,Use 1 gm/plant base,18.12,90.18,77.07,985.71,6.19,24.79,72.57,38.32,1.57,47.0,Larva,41.06,0.9,56.67,61.05,28.83,-0.18,No,Deficient
23,59,19,21.98560799,24.87304788,5.852046999,129.5650601,kidneybeans,Banana Weevil,Spinosad,Dimethoate 30% EC,Spray 2 ml/L water,18.61,92.84,194.51,1047.18,5.26,23.25,27.94,29.1,4.53,18.0,Egg,21.75,0.9,37.63,49.76,22.06,0.85,No,Deficient
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans,Fall Armyworm,Spinosad,Dimethoate 30% EC,Apply 0.1 ml/L water,27.33,85.0,22.09,1028.72,2.06,8.93,261.54,53.12,3.35,18.0,Egg,35.3,0.75,59.33,79.63,29.76,0.21,Yes,Deficient
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans,Stem Borer,Fenamiphos,Dimethoate 30% EC,Apply 0.1 ml/L water,30.76,88.77,150.79,994.48,3.89,38.31,304.39,10.04,1.44,18.0,Adult,87.22,0.66,44.78,55.51,32.92,-0.82,No,Optimal
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans,Stem Borer,Carbofuran,Malathion 50% EC,Spray 2 ml/L water,22.71,59.08,258.55,980.53,10.64,26.99,163.1,62.34,1.52,8.0,Larva,91.29,0.2,26.18,17.1,31.09,-0.13,No,Deficient
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,kidneybeans,Fall Armyworm,Thiamethoxam,Chlorantraniliprole 18.5% SC,Use 1 gm/plant base,33.98,65.78,241.99,1011.82,7.53,9.57,276.53,8.78,1.61,9.0,Egg,46.82,0.63,54.48,64.82,24.43,0.53,No,Excess
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans,Nematodes,Buprofezin,Chlorantraniliprole 18.5% SC,Apply 0.2 gm/L water,23.56,94.96,229.76,1006.63,10.5,24.59,329.74,10.54,4.36,20.0,Egg,14.25,0.29,32.26,31.39,27.15,0.72,No,Excess
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans,Fruit Fly,Fenamiphos,Carbofuran 3% GR,Spray 1.5 ml/L water,33.28,58.01,41.04,997.53,6.45,17.4,337.29,23.0,2.71,41.0,Larva,49.8,0.33,22.44,42.33,28.83,0.86,Yes,Excess
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans,Brown Planthopper,Spinosad,Chlorantraniliprole 18.5% SC,Apply 0.2 gm/L water,22.55,89.9,282.49,1020.9,7.58,28.91,182.48,88.95,1.29,28.0,Egg,2.57,0.2,32.34,63.35,22.92,-0.67,Yes,Excess
27,56,22,19.91853092,20.70099804,5.833010957999999,108.6434544,kidneybeans,Mango Hopper,Dimethoate,Carbofuran 3% GR,Spray 2 ml/L water,32.01,78.75,71.58,995.99,8.52,10.18,190.93,81.3,4.87,30.0,Larva,68.42,0.56,42.85,57.42,18.84,0.01,No,Excess
17,77,24,20.76952209,18.93146941,5.568456899,109.0193712,kidneybeans,Mango Hopper,Malathion,Carbofuran 3% GR,Spray 2 ml/L water,33.99,98.59,284.19,997.73,2.35,33.1,23.91,26.77,1.71,10.0,Adult,85.45,0.51,59.84,74.51,27.48,0.68,Yes,Deficient
0,65,15,23.46168338,23.22197648,5.645435626,95.84253438,kidneybeans,Corn Borer,Thiamethoxam,Thiamethoxam 25% WG,Spray 2 ml/L water,15.43,54.57,160.77,1004.85,1.59,9.04,123.17,47.43,1.85,22.0,Adult,89.46,0.3,55.95,23.86,13.73,-0.18,No,Excess
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans,Brown Planthopper,Chlorantraniliprole,Carbofuran 3% GR,Use 1 gm/plant base,19.56,42.2,5.18,984.51,3.73,35.06,127.48,96.08,0.83,18.0,Egg,34.16,0.37,54.45,50.75,16.95,0.5,No,Deficient
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,kidneybeans,Corn Borer,Carbofuran,Carbofuran 3% GR,Apply 2 gm/plant base,29.74,87.0,3.54,1038.7,3.34,10.82,354.27,45.41,3.22,4.0,Larva,99.02,0.16,25.9,76.66,20.41,0.74,Yes,Deficient
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans,Stem Borer,Thiamethoxam,Fenamiphos 10% GR,Use 1 gm/plant base,16.26,98.91,14.89,1000.69,9.77,39.81,0.17,77.57,1.83,47.0,Egg,25.77,0.2,46.9,49.75,32.22,0.07,Yes,Excess
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans,Mango Hopper,Fenamiphos,Malathion 50% EC,Apply 0.1 ml/L water,23.36,73.48,116.17,988.97,3.22,25.03,74.26,27.84,0.55,15.0,Egg,95.17,0.08,42.83,68.95,22.98,-0.27,Yes,Deficient
3,67,24,17.00067625,19.90790546,5.520880013999999,103.2926407,kidneybeans,Corn Borer,Carbofuran,Carbofuran 3% GR,Apply 0.2 gm/L water,20.16,58.51,182.65,1048.69,7.28,34.64,266.89,44.75,3.15,35.0,Larva,32.48,0.56,27.97,39.17,33.01,-0.5,Yes,Optimal
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,kidneybeans,Fruit Fly,Dimethoate,Malathion 50% EC,Spray at 0.4 ml/L water,32.07,63.5,7.98,984.88,6.7,33.91,284.67,26.26,0.71,4.0,Larva,64.6,0.11,44.43,31.14,10.5,0.24,No,Excess
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans,Mango Hopper,Carbofuran,Carbofuran 3% GR,Apply 0.2 gm/L water,20.89,88.02,208.28,997.24,9.97,13.8,9.32,34.13,0.88,19.0,Larva,93.52,0.93,58.2,54.56,15.01,0.35,Yes,Excess
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans,Mango Hopper,Malathion,Dimethoate 30% EC,Spray at 0.4 ml/L water,24.94,76.27,164.82,986.89,5.92,21.73,208.96,3.86,2.09,44.0,Egg,28.44,0.34,46.87,10.62,20.92,-0.17,Yes,Deficient
22,71,17,18.15300153,19.38602098,5.509295379,107.6907964,kidneybeans,Fall Armyworm,Dimethoate,Carbofuran 3% GR,Spray 2 ml/L water,15.59,84.6,192.02,1043.27,7.97,39.3,302.89,80.63,0.55,18.0,Larva,24.32,0.31,53.65,64.16,10.92,0.19,Yes,Excess
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans,Fruit Fly,Carbofuran,Buprofezin 25% SC,Spray 1.5 ml/L water,29.92,70.84,168.54,1034.24,7.96,16.95,163.84,23.01,0.89,38.0,Adult,29.84,0.89,44.3,68.4,11.53,-0.05,Yes,Deficient
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans,Brown Planthopper,Carbofuran,Dimethoate 30% EC,Spray 0.3 ml/L water,23.46,82.78,289.24,1031.1,6.15,32.44,135.96,89.54,1.38,48.0,Larva,23.26,0.86,25.61,44.17,13.99,0.38,No,Deficient
12,63,17,18.358923,19.37703396,5.717143397,138.414764,kidneybeans,Fruit Fly,Dimethoate,Carbofuran 3% GR,Apply 0.2 gm/L water,30.19,67.64,148.27,984.16,9.46,4.91,351.55,40.56,3.76,27.0,Adult,75.3,0.71,41.64,26.49,12.36,0.24,No,Excess
27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,kidneybeans,Mango Hopper,Spinosad,Dimethoate 30% EC,Apply 0.1 ml/L water,29.29,45.24,26.96,1026.79,1.15,39.74,276.33,38.68,2.5,3.0,Larva,69.89,0.36,25.57,66.16,13.84,0.4,No,Deficient
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans,Nematodes,Buprofezin,Chlorantraniliprole 18.5% SC,Apply 0.1 ml/L water,20.84,56.35,298.68,1012.94,5.42,30.9,65.01,22.51,1.29,15.0,Egg,47.31,0.04,38.47,31.24,26.92,0.89,Yes,Excess
24,67,22,20.120043,22.89845607,5.618844277000001,104.6252153,kidneybeans,Brown Planthopper,Fenamiphos,Buprofezin 25% SC,Spray 1.5 ml/L water,25.06,88.27,157.68,993.57,7.05,36.21,20.74,86.51,3.97,39.0,Larva,7.32,0.58,58.21,48.3,17.55,-0.82,No,Optimal
11,71,24,21.14011423,22.7182355,5.6066203460000015,141.6056722,kidneybeans,Stem Borer,Chlorantraniliprole,Malathion 50% EC,Use 1 gm/plant base,26.94,81.53,151.9,1011.78,7.37,5.14,212.31,5.65,4.62,47.0,Egg,43.48,0.57,52.48,49.79,14.49,-0.1,Yes,Deficient
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans,Nematodes,Chlorantraniliprole,Carbofuran 3% GR,Spray 0.3 ml/L water,18.23,73.03,10.49,1039.42,9.95,29.01,57.64,53.08,2.24,8.0,Egg,99.12,0.21,49.24,77.03,19.82,0.59,No,Excess
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,kidneybeans,Banana Weevil,Fenamiphos,Carbofuran 3% GR,Spray 0.3 ml/L water,21.14,40.17,109.81,997.31,4.29,3.76,319.07,12.16,4.33,38.0,Egg,38.63,0.2,30.94,22.34,31.8,0.08,No,Excess
34,66,17,18.81097271,21.27833035,5.889614577000001,125.084915,kidneybeans,Mango Hopper,Thiamethoxam,Thiamethoxam 25% WG,Spray at 0.4 ml/L water,27.2,82.21,276.44,1043.77,10.77,12.66,76.69,12.73,0.51,23.0,Adult,91.61,0.09,36.33,32.77,23.4,0.39,Yes,Deficient
20,69,15,23.44260668,22.77255917,5.934136378,107.4137246,kidneybeans,Banana Weevil,Thiamethoxam,Buprofezin 25% SC,Apply 2 gm/plant base,23.35,50.71,37.32,989.22,9.52,31.77,182.57,9.01,0.7,3.0,Egg,31.66,0.04,45.28,37.97,15.08,-0.86,Yes,Deficient
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans,Stem Borer,Chlorantraniliprole,Buprofezin 25% SC,Apply 0.1 ml/L water,33.57,49.1,252.25,1039.66,4.91,2.18,1.55,82.82,0.52,46.0,Egg,93.78,0.6,59.56,38.86,28.42,0.37,No,Deficient
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans,Mango Hopper,Buprofezin,Dimethoate 30% EC,Apply 0.2 gm/L water,29.82,80.13,200.26,987.67,1.78,17.71,259.68,84.72,3.55,37.0,Adult,75.17,0.98,42.41,27.65,19.27,-0.76,Yes,Deficient
4,67,25,23.78709569,24.35679348,5.948164454,119.6404412,kidneybeans,Fruit Fly,Buprofezin,Malathion 50% EC,Spray at 0.4 ml/L water,18.15,43.14,293.12,1037.72,1.04,27.12,291.43,30.2,2.21,12.0,Adult,76.38,0.25,25.36,41.36,30.22,0.45,Yes,Deficient
37,56,25,22.05592283,19.60379304,5.774755143999999,126.7265372,kidneybeans,Nematodes,Malathion,Malathion 50% EC,Use 1 gm/plant base,23.34,50.24,104.56,995.19,10.26,26.86,338.9,89.5,3.06,46.0,Adult,74.87,0.96,36.16,25.82,13.73,0.92,Yes,Deficient
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans,Corn Borer,Fenamiphos,Carbofuran 3% GR,Apply 0.1 ml/L water,22.22,74.14,280.23,1031.22,10.35,7.11,36.84,64.07,3.28,18.0,Adult,93.52,0.48,54.0,57.16,27.79,-0.84,Yes,Deficient
11,61,21,18.62328774,23.02410338,5.532100554,135.33780330000002,kidneybeans,Nematodes,Buprofezin,Spinosad 45% SC,Spray 1.5 ml/L water,15.56,92.75,98.65,1035.37,1.96,17.91,194.11,78.51,4.88,22.0,Adult,58.8,0.36,35.0,22.6,13.15,-0.46,Yes,Deficient
22,80,20,23.00884744,18.86880997,5.669560726,100.118612,kidneybeans,Banana Weevil,Chlorantraniliprole,Dimethoate 30% EC,Spray 2 ml/L water,30.03,91.78,128.06,998.88,4.87,24.93,189.41,63.82,0.83,0.0,Larva,74.43,0.99,48.55,58.28,15.0,0.88,No,Excess
12,61,19,19.33162606,24.13995025,5.655726817000001,68.51253427,kidneybeans,Nematodes,Dimethoate,Spinosad 45% SC,Spray 0.3 ml/L water,32.48,95.83,210.82,1005.0,4.48,7.16,6.6,41.05,1.05,20.0,Egg,42.08,0.68,25.78,69.44,13.79,-0.32,No,Optimal
5,74,21,16.24469193,21.35793891,5.591704013999999,66.97053257,kidneybeans,Fall Armyworm,Carbofuran,Fenamiphos 10% GR,Apply 0.2 gm/L water,25.16,43.17,138.75,1006.11,10.86,0.15,44.41,23.26,0.83,27.0,Egg,59.81,0.63,48.88,70.77,34.3,-0.53,Yes,Deficient
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans,Fall Armyworm,Chlorantraniliprole,Spinosad 45% SC,Spray at 0.4 ml/L water,28.81,41.84,271.01,1002.11,6.3,3.2,62.4,18.7,2.63,19.0,Egg,2.84,0.88,32.46,15.26,12.74,-0.57,No,Excess
31,75,18,15.46789263,21.43780702,5.824208308999999,88.88796102,kidneybeans,Brown Planthopper,Fenamiphos,Carbofuran 3% GR,Apply 0.2 gm/L water,27.06,41.37,123.07,1027.21,6.73,6.96,33.59,61.22,1.29,49.0,Adult,95.12,0.3,37.76,53.26,27.19,0.07,Yes,Deficient
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,kidneybeans,Stem Borer,Carbofuran,Spinosad 45% SC,Apply 0.2 gm/L water,26.02,69.4,211.64,1044.58,5.71,36.5,156.89,90.65,0.53,11.0,Adult,37.22,0.24,36.67,47.64,13.38,0.46,Yes,Deficient
5,65,16,21.32776028,18.48522915,5.866744372,109.1013261,kidneybeans,Corn Borer,Spinosad,Fenamiphos 10% GR,Spray at 0.4 ml/L water,33.25,87.78,95.59,1000.92,5.46,32.94,204.82,81.9,2.44,46.0,Adult,45.95,0.69,44.37,72.67,22.55,-0.65,No,Deficient
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans,Fall Armyworm,Carbofuran,Chlorantraniliprole 18.5% SC,Spray 0.3 ml/L water,24.24,96.08,111.77,1013.22,8.52,26.31,318.98,24.33,3.45,23.0,Adult,18.23,0.19,48.83,37.22,14.55,0.95,No,Optimal
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,kidneybeans,Stem Borer,Malathion,Thiamethoxam 25% WG,Use 1 gm/plant base,17.63,72.76,32.59,981.83,6.79,38.67,40.7,2.87,0.62,39.0,Egg,89.82,0.61,53.52,15.48,12.82,0.11,Yes,Deficient
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans,Mango Hopper,Fenamiphos,Buprofezin 25% SC,Use 1 gm/plant base,29.41,81.49,13.25,1041.36,1.3,4.43,332.53,70.11,3.4,13.0,Egg,81.0,0.55,44.08,29.28,31.9,0.76,No,Optimal
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans,Banana Weevil,Dimethoate,Fenamiphos 10% GR,Spray 1.5 ml/L water,21.53,67.99,237.06,1031.83,4.49,29.72,61.23,72.4,4.88,24.0,Larva,66.31,0.43,33.73,46.81,23.43,0.44,No,Optimal
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,kidneybeans,Brown Planthopper,Chlorantraniliprole,Buprofezin 25% SC,Spray 0.3 ml/L water,18.54,90.18,246.54,987.08,9.63,23.42,259.43,72.52,3.85,50.0,Egg,27.42,0.97,37.25,41.05,25.43,0.16,Yes,Excess
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans,Mango Hopper,Dimethoate,Thiamethoxam 25% WG,Apply 0.1 ml/L water,23.3,65.23,285.65,1008.41,5.52,11.93,73.68,19.45,3.11,48.0,Adult,62.0,0.5,47.64,31.51,21.5,0.32,Yes,Deficient
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans,Fall Armyworm,Dimethoate,Buprofezin 25% SC,Spray 2 ml/L water,15.74,51.81,259.0,1042.11,4.74,16.72,234.7,85.42,0.89,31.0,Adult,7.92,0.54,52.2,59.63,16.67,0.12,Yes,Optimal
13,69,19,17.30844532,20.01730914,5.86390397,115.199245,kidneybeans,Fall Armyworm,Thiamethoxam,Carbofuran 3% GR,Apply 0.1 ml/L water,25.08,71.8,262.88,1010.85,1.58,27.33,209.51,19.88,4.38,5.0,Egg,21.84,0.51,32.91,42.96,10.4,-0.44,Yes,Excess
14,67,22,23.82576704,24.75485098,5.624690247999999,84.64143632,kidneybeans,Banana Weevil,Buprofezin,Fenamiphos 10% GR,Spray 2 ml/L water,20.32,97.57,190.29,986.45,7.31,19.76,266.18,68.21,4.95,48.0,Egg,1.88,1.0,28.02,77.85,33.03,-0.17,Yes,Excess
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,kidneybeans,Mango Hopper,Spinosad,Chlorantraniliprole 18.5% SC,Spray 0.3 ml/L water,19.17,63.68,78.25,998.99,5.51,11.8,347.3,16.31,2.06,24.0,Larva,55.02,0.19,34.75,57.47,21.09,-0.95,No,Optimal
20,73,22,16.03768615,22.33195853,5.976312537999999,130.3900798,kidneybeans,Banana Weevil,Spinosad,Buprofezin 25% SC,Spray 0.3 ml/L water,27.62,55.12,247.96,989.09,2.58,1.5,55.79,11.08,3.47,9.0,Larva,29.29,0.34,58.56,77.08,19.39,0.49,No,Deficient
